site_id,교구,장소명,굿뉴스_사진,굿뉴스_성지명,굿뉴스_앨범,개별홈페이지,성지전화,이용조건,허락요청처,교구연락처,비고
ede390ef-348e-466b-a77e-0b0998c1ab03,광주,5·18 기념성당(남동성당),없음,,,,,사전 승낙 필요 (굿뉴스 약관 16조7항 · 교구 사이트 전부 All rights reserved),교구: hongbo@gjcatholic.or.kr,hongbo@gjcatholic.or.kr,
3fb1f577-e8b2-4f34-b72c-79e64ba4b913,광주,곡성 옥터 성지(곡성성당),있음,곡성 옥터(곡성 성당),https://maria.catholic.or.kr/sa_ho/list/view.asp?menugubun=holyplace&ctxtOrgNum=2246&ctxtSubMenu=album,http://ch.catholic.or.kr/oktersj,(061)362-1004,사전 승낙 필요 (굿뉴스 약관 16조7항 · 교구 사이트 전부 All rights reserved),성지 직접(http://ch.catholic.or.kr/oktersj) → 안 되면 교구,hongbo@gjcatholic.or.kr,
6436b88a-1101-40d8-be84-59dba4146ee5,광주,영광 순교자 기념성당,있음,영광 순교자 기념성당,https://maria.catholic.or.kr/sa_ho/list/view.asp?menugubun=holyplace&ctxtOrgNum=4339&ctxtSubMenu=album,http://cafe.daum.net/ygcatholic,(061)351-2276,사전 승낙 필요 (굿뉴스 약관 16조7항 · 교구 사이트 전부 All rights reserved),교구: hongbo@gjcatholic.or.kr,hongbo@gjcatholic.or.kr,
27c44eb0-4bea-451d-ad62-994eba78d04b,대구,경주 관아와 옥 터,없음,,,https://cafe.daum.net/gjsgsd,,사전 승낙 필요 (굿뉴스 약관 16조7항 · 교구 사이트 전부 All rights reserved),교구: kanzler@dgca.or.kr (053-250-3000),kanzler@dgca.or.kr (053-250-3000),
90025fc0-dd69-461c-a5c2-3179d8886ff0,대구,관덕정 순교성지,있음,관덕정 순교 기념관,https://maria.catholic.or.kr/sa_ho/list/view.asp?menugubun=holyplace&ctxtOrgNum=2250&ctxtSubMenu=album,http://www.daegusaint.org,(053)254-0151,사전 승낙 필요 (굿뉴스 약관 16조7항 · 교구 사이트 전부 All rights reserved),성지 직접(http://www.daegusaint.org) → 안 되면 교구,kanzler@dgca.or.kr (053-250-3000),
ce4882fd-cf65-4364-bf43-f43eedf18d1f,대구,구룡 공소,없음,,,,,사전 승낙 필요 (굿뉴스 약관 16조7항 · 교구 사이트 전부 All rights reserved),교구: kanzler@dgca.or.kr (053-250-3000),kanzler@dgca.or.kr (053-250-3000),
206a50d2-1b8b-41a7-bbba-6d41f3acd553,대구,김천 황금성당,없음,,,,,사전 승낙 필요 (굿뉴스 약관 16조7항 · 교구 사이트 전부 All rights reserved),교구: kanzler@dgca.or.kr (053-250-3000),kanzler@dgca.or.kr (053-250-3000),
796e1f04-a8e6-4344-bb24-461802417f26,대구,복자 성당,있음,복자 성당,https://maria.catholic.or.kr/sa_ho/list/view.asp?menugubun=holyplace&ctxtOrgNum=2251&ctxtSubMenu=album,http://cafe.daum.net/bokjabondang,(053)745-3850,사전 승낙 필요 (굿뉴스 약관 16조7항 · 교구 사이트 전부 All rights reserved),교구: kanzler@dgca.or.kr (053-250-3000),kanzler@dgca.or.kr (053-250-3000),
e6ba760e-a5d7-40c0-8899-6f4a319ff2bc,대구,비산 성당,없음,,,,,사전 승낙 필요 (굿뉴스 약관 16조7항 · 교구 사이트 전부 All rights reserved),교구: kanzler@dgca.or.kr (053-250-3000),kanzler@dgca.or.kr (053-250-3000),
cc80b055-37b9-4a96-8861-9822aaa336b5,대구,비산동 날뫼 순교지,없음,,,,,사전 승낙 필요 (굿뉴스 약관 16조7항 · 교구 사이트 전부 All rights reserved),교구: kanzler@dgca.or.kr (053-250-3000),kanzler@dgca.or.kr (053-250-3000),
b8e7e64b-77af-41bc-81b0-6f8cb8750ea1,대구,새방골 성당,없음,,,,,사전 승낙 필요 (굿뉴스 약관 16조7항 · 교구 사이트 전부 All rights reserved),교구: kanzler@dgca.or.kr (053-250-3000),kanzler@dgca.or.kr (053-250-3000),
