"use","site_id","site_name","diocese","site_location","source","keyword","score","reason","gal_content_id","gal_title","gal_image_url","gal_location","gal_photographer","gal_month","gal_keywords"
"y","a9d7452a-a271-4634-bbed-42e977532c69","가톨릭 목포 성지","광주","전라남도 목포시 산정동 90-1","tourinfo","가톨릭","9","제목=이름·종교어·같은 도","3006131","가톨릭 목포 성지","https://tong.visitkorea.or.kr/cms/resource/49/4054849_image2_1.jpg","전남광주통합특별시 목포시 노송길 35 (산정동)","TourAPI 관광정보(contentTypeId 12)","202606",""
"","a9d7452a-a271-4634-bbed-42e977532c69","가톨릭 목포 성지","광주","전라남도 목포시 산정동 90-1","tourinfo","목포","6","제목⊃검색어·종교어·같은 도","3006094","목포 경동성당","https://tong.visitkorea.or.kr/cms/resource/10/4098610_image2_1.jpg","전남광주통합특별시 목포시 해안로165번길 33","TourAPI 관광정보(contentTypeId 12)","202608",""
"y","4877a452-ffe2-4528-ab51-cb5ff3735d56","갈매못 순교성지","대전","충남 보령시 오천면 오천해안로 610","tourinfo","갈매못","6","제목⊃검색어·종교어·같은 도","127634","순교성지 갈매못","https://tong.visitkorea.or.kr/cms/resource/26/3568026_image2_1.jpg","충청남도 보령시 오천면 오천해안로 610","TourAPI 관광정보(contentTypeId 12)","202606",""
"y","750b4187-fb75-4e0d-bfcc-53bdacf032dd","갑곶 순교성지","인천","인천광역시 강화군 강화읍 해안동로1366번길 35","tourinfo","갑곶","9","제목=이름·종교어·같은 도","2768133","갑곶순교성지","http://tong.visitkorea.or.kr/cms/resource/84/3533184_image2_1.jpg","인천광역시 강화군 강화읍 해안동로1366번길 35","TourAPI 관광정보(contentTypeId 12)","202509",""
"y","98e959e5-4ace-4752-87bd-2fd3276a474c","강릉 대도호부 관아","춘천","강원도 강릉시 용강동 58-1","tourinfo","강릉","7","제목=이름·같은 도","2605187","강릉 대도호부 관아","https://tong.visitkorea.or.kr/cms/resource/79/3378379_image2_1.JPG","강원특별자치도 강릉시 임영로131번길 6","TourAPI 관광정보(contentTypeId 12)","202603",""
"y","8c53e03c-1045-4a42-a1f7-8ad29a2f15c1","구산 성지","수원","경기도 하남시 망월동 387-10","tourinfo","구산성지","9","제목=이름·종교어·같은 도","126805","구산성지","https://tong.visitkorea.or.kr/cms/resource/73/3033573_image2_1.JPG","경기도 하남시 미사강변북로 99 (망월동)","TourAPI 관광정보(contentTypeId 12)","202603",""
"y","3a79079e-5a81-420a-87a7-915abba1ba38","김수환 추기경 사랑과 나눔 공원","대구","대구광역시 군위군 군위읍 용대리 238-10","tourinfo","김수환","9","제목=이름·종교어·같은 도","2757084","김수환 추기경 사랑과 나눔공원","http://tong.visitkorea.or.kr/cms/resource/92/3571492_image2_1.JPG","대구광역시 군위군 군위읍 군위금성로 270","TourAPI 관광정보(contentTypeId 12)","202511",""
"","dfade181-063e-4fa9-9b24-9cc1c1e9cadd","김제 순교 성지","전주","전라북도 김제시 요촌동 (요촌성당 내)","tourinfo","김제","6","제목⊃검색어·종교어·같은 도","319556","성모암(김제)","http://tong.visitkorea.or.kr/cms/resource/07/3560807_image2_1.jpg","전북특별자치도 김제시 만경읍 화포3길 54-9","TourAPI 관광정보(contentTypeId 12)","202511",""
"y","b1073093-aeff-4e91-b642-0f8ab69207ad","나주 순교자 기념성당","광주","전남 나주시 (나주성당)","tourinfo","나주","6","제목⊃검색어·종교어·같은 도","1935351","나주 순교성지","http://tong.visitkorea.or.kr/cms/resource/57/3562457_image2_1.jpg","전남광주통합특별시 나주시 박정길 3 (산정동)","TourAPI 관광정보(contentTypeId 12)","202606",""
"y","b066e847-4e51-409e-b2d2-95e4ee8ca6ed","남양 성모 성지","수원","경기도 화성시 남양리 1704","tourinfo","남양","9","제목=이름·종교어·같은 도","126709","남양성모성지","https://tong.visitkorea.or.kr/cms/resource/04/4066504_image2_1.jpg","경기도 화성시 남양읍 남양성지로 112","TourAPI 관광정보(contentTypeId 12)","202606",""
"y","17d46128-2bec-4f7f-a2c9-47806092e6be","다락골 성지","대전","충청남도 청양군 화성면 농암리 676-1","tourinfo","다락골","6","제목⊃검색어·종교어·같은 도","127312","청양 다락골 줄무덤 성지","http://tong.visitkorea.or.kr/cms/resource/44/3027844_image2_1.jpg","충청남도 청양군 화성면 다락골길 78-6","TourAPI 관광정보(contentTypeId 12)","202505",""
"y","dc218e5a-3218-4364-bc6d-4c5737122d53","단내 성가정 성지","수원","경기도 이천시 호법면 단천리 357","tourinfo","단내","9","제목=이름·종교어·같은 도","2763759","단내 성가정 성지","http://tong.visitkorea.or.kr/cms/resource/01/3541501_image2_1.jpg","경기도 이천시 호법면 이섭대천로155번길 38-13","TourAPI 관광정보(contentTypeId 12)","202510",""
"y","e6ea8590-c9fa-4894-9a96-e9bc8718c9e7","대정성지 (정난주 마리아 묘)","제주","제주특별자치도 서귀포시 대정읍 동일리","tourinfo","대정성지","9","제목=이름·종교어·같은 도","2765240","천주교 대정성지","http://tong.visitkorea.or.kr/cms/resource/03/3391703_image2_1.jpg","제주특별자치도 서귀포시 대정읍 추사로247번길 102","TourAPI 관광정보(contentTypeId 12)","202511",""
"y","47589be3-145b-49d5-ba67-09e05beaa544","되재 성당지","전주","전라북도 완주군 화산면 승치리 729-1","tourinfo","되재","6","제목⊃검색어·종교어·같은 도","2702537","되재성당","https://tong.visitkorea.or.kr/cms/resource/22/3511722_image2_1.jpg","전북특별자치도 완주군 화산면 승치로 477","TourAPI 관광정보(contentTypeId 12)","202603",""
"y","c7f09aab-c761-4145-ac38-9030030f00f7","명례 성지","마산","경상남도 밀양시 하남읍 명례리 1122","tourinfo","명례성지","9","제목=이름·종교어·같은 도","2702820","천주교 명례성지","http://tong.visitkorea.or.kr/cms/resource/28/3521128_image2_1.jpg","경상남도 밀양시 하남읍 명례안길 44-1","TourAPI 관광정보(contentTypeId 12)","202509",""
"y","6aad7554-cb1e-4211-af58-3316ba8f1be2","목포 산정동 순교자기념성당","광주","전남 목포시 노송길 35","tourinfo","목포","6","제목⊃검색어·종교어·같은 도","3006131","가톨릭 목포 성지","https://tong.visitkorea.or.kr/cms/resource/49/4054849_image2_1.jpg","전남광주통합특별시 목포시 노송길 35 (산정동)","TourAPI 관광정보(contentTypeId 12)","202606",""
"","6aad7554-cb1e-4211-af58-3316ba8f1be2","목포 산정동 순교자기념성당","광주","전남 목포시 노송길 35","tourinfo","목포","6","제목⊃검색어·종교어·같은 도","3006094","목포 경동성당","https://tong.visitkorea.or.kr/cms/resource/10/4098610_image2_1.jpg","전남광주통합특별시 목포시 해안로165번길 33","TourAPI 관광정보(contentTypeId 12)","202608",""
"y","299f79c2-1572-4199-abdd-7b5979d5f14f","미리내 성지","수원","경기도 안성시 양성면 미산리","tourinfo","미리내","9","제목=이름·종교어·같은 도","127556","미리내성지","https://tong.visitkorea.or.kr/cms/resource/77/3558777_image2_1.jpg","경기도 안성시 양성면 미리내성지로 420","TourAPI 관광정보(contentTypeId 12)","202602",""
"y","031a928d-7313-4460-a340-0dd276ea02db","배티 순교성지","청주","충북 진천군 백곡면 양백리","tourinfo","배티","6","제목⊃검색어·종교어·같은 도","127793","진천 배티 성지","http://tong.visitkorea.or.kr/cms/resource/96/3064496_image2_1.JPG","충청북도 진천군 백곡면 배티로 663-13","TourAPI 관광정보(contentTypeId 12)","202504",""
"y","4c36258e-cfcc-4c77-be5c-325b77513f58","상주 신앙 고백비","안동","경상북도 상주시 청리면 삼괴리 361","tourinfo","상주","6","제목⊃검색어·종교어·같은 도","129003","상주천주교신앙고백비","https://tong.visitkorea.or.kr/cms/resource/14/3528014_image2_1.jpg","경상북도 상주시 청리면 삼괴리","TourAPI 관광정보(contentTypeId 12)","202603",""
"","2686f0fa-9cc0-4aac-a34c-8a8c22283e67","상주 옥 터","안동","경상북도 상주시 성동동 (남문시장 옛 자리)","tourinfo","상주","6","제목⊃검색어·종교어·같은 도","129003","상주천주교신앙고백비","https://tong.visitkorea.or.kr/cms/resource/14/3528014_image2_1.jpg","경상북도 상주시 청리면 삼괴리","TourAPI 관광정보(contentTypeId 12)","202603",""
"y","9321e8ce-5d68-46e5-bd9f-e8fbde9ca2e4","새미 은총의 동산","제주","제주도 제주시 한림읍 금악리 365-1","tourinfo","새미은총의동산","7","제목=이름·같은 도","2765252","새미은총의동산","https://tong.visitkorea.or.kr/cms/resource/17/4088617_image2_1.jpg","제주특별자치도 제주시 한림읍 새미소길 15","TourAPI 관광정보(contentTypeId 12)","202607",""
"","c3dab929-8628-4fcd-be56-032a8076f934","서소문 밖 네거리 순교성지","서울","서울시 중구 칠패로 5 (중림동)","tourinfo","서소문","6","제목⊃검색어·종교어·같은 도","2765202","서소문성지역사박물관","http://tong.visitkorea.or.kr/cms/resource/75/3430175_image2_1.JPG","서울특별시 중구 칠패로 5 (의주로2가)","TourAPI 관광정보(contentTypeId 14)","202503",""
"","50cb1cfe-814a-42fd-a2ca-8ab6c57ba8bd","성모 순례지","인천","인천시 동구 박문로 1 (인천교구청)","tourinfo","성모순례지","4","제목=이름·종교어·다른 도(충북)","1114686","감곡매괴성모순례지성당","http://tong.visitkorea.or.kr/cms/resource/53/3576253_image2_1.jpg","충청북도 음성군 감곡면 성당길 10","TourAPI 관광정보(contentTypeId 12)","202511",""
"","61608fcb-1437-42f6-a194-f715380aa8ac","성체 순례 성지","인천","경기도 김포시 북변동 259-1","tourinfo","순례","6","제목⊃검색어·종교어·같은 도","2395755","[경기옛길 영남길 제9길] 죽산성지순례길(죽산면소재지 ~ 일죽면 금산리)","http://tong.visitkorea.or.kr/cms/resource/59/3393759_image2_1.jpg","경기도 안성시 죽산면 죽산초교길","TourAPI 관광정보(contentTypeId 28)","202503",""
"y","3703ae13-69fa-427e-aafe-ce32b340a1eb","손골 성지","수원","경기도 용인시 수지구 동천동 734","tourinfo","손골성지","9","제목=이름·종교어·같은 도","2732361","천주교 손골성지","http://tong.visitkorea.or.kr/cms/resource/44/2774244_image2_1.jpg","경기도 용인시 수지구 동천로437번길 67","TourAPI 관광정보(contentTypeId 12)","202501",""
"y","da89541b-07ce-4658-b138-897fa4473977","수리치골 성모 성지","대전","충청남도 공주시 신풍면 봉갑리 356-6","tourinfo","수리치골","6","제목⊃검색어·종교어·같은 도","127238","수리치골 성지","https://tong.visitkorea.or.kr/cms/resource/82/3060482_image2_1.JPG","충청남도 공주시 신풍면 용수봉갑길 544","TourAPI 관광정보(contentTypeId 12)","202602",""
"","bf53457b-5cbc-4468-bb63-0b4526967801","수영 장대 순교성지","부산","부산시 수영구 광안 4동 546-4","tourinfo","수영","6","제목⊃검색어·종교어·같은 도","129631","경상좌수영성지","http://tong.visitkorea.or.kr/cms/resource/02/3476802_image2_1.jpg","부산광역시 수영구 수영성로 43","TourAPI 관광정보(contentTypeId 12)","202504",""
"y","800a92cf-7894-484b-a1b8-ed426e8e3509","신나무골 성지","대구","경상북도 칠곡군 지천면 연화리 20","tourinfo","신나무골","9","제목=이름·종교어·같은 도","3486984","신나무골성지","https://tong.visitkorea.or.kr/cms/resource/64/4104364_image2_1.jpg","경상북도 칠곡군 지천면 칠곡대로 2189-22","TourAPI 관광정보(contentTypeId 12)","202608",""
"","83fa7ec0-8694-4a20-9dd9-31c19020bbcb","언양 죽림굴(대재공소)","부산","울산광역시 울주군 상북면 간월산","tourinfo","언양","6","제목⊃검색어·종교어·같은 도","1935346","언양성당 성지","http://tong.visitkorea.or.kr/cms/resource/18/3581718_image2_1.jpg","울산광역시 울주군 언양읍 구교동1길 11","TourAPI 관광정보(contentTypeId 12)","202512",""
"y","4b1bd009-94ca-4cc5-8217-8c3b6b5491c7","연풍 순교성지","청주","충북 괴산군 연풍면","tourinfo","연풍","6","제목⊃검색어·종교어·같은 도","1626555","연풍성지","http://tong.visitkorea.or.kr/cms/resource/53/3571253_image2_1.jpg","충청북도 괴산군 연풍면 중앙로홍문2길 14","TourAPI 관광정보(contentTypeId 12)","202511",""
"y","ad74fef5-1d7c-468e-a32c-03e551af7482","왜관 성 베네딕도 수도원","대구","경북 칠곡군 왜관읍 왜관수도원길 67","tourinfo","왜관","6","제목⊃검색어·종교어·같은 도","2514751","성베네딕도회 왜관수도원","https://tong.visitkorea.or.kr/cms/resource/42/4074442_image2_1.jpg","경상북도 칠곡군 왜관읍 관문로 61","TourAPI 관광정보(contentTypeId 12)","202606",""
"y","933c7006-8bb5-4ff0-85d3-ac5146f47372","용수성지 (성 김대건 신부 제주 표착 기념관)","제주","제주특별자치도 제주시 한경면 용수리","tourinfo","용수성지","9","제목=이름·종교어·같은 도","2765233","용수성지","http://tong.visitkorea.or.kr/cms/resource/00/3553800_image2_1.jpg","제주특별자치도 제주시 한경면 용수1길 108","TourAPI 관광정보(contentTypeId 12)","202510",""
"y","db51e1aa-4101-48a8-94db-bc10f3723464","은이 성지","수원","경기도 용인시 처인구","tourinfo","은이성지","9","제목=이름·종교어·같은 도","2612873","은이성지(청년 김대건길)","http://tong.visitkorea.or.kr/cms/resource/17/3559617_image2_1.jpg","경기도 용인시 처인구 양지면 은이로 182","TourAPI 관광정보(contentTypeId 12)","202510",""
