교구,성지,저장위치,파일_또는_URL,KB,출처,라이선스
광주,가톨릭 목포 성지,저장소 파일,gatolrik-mokpo-seongji.jpg,131,한국관광공사 TourAPI 관광정보 (contentId 3006131),공공누리 (제1·3유형 미확인 · 원본 무변경)
광주,나주 순교자 기념성당,저장소 파일,naju-sungyoja-ginyeomseongdang.jpg,120,한국관광공사 TourAPI 관광정보 (contentId 1935351),공공누리 (제1·3유형 미확인 · 원본 무변경)
광주,목포 산정동 순교자기념성당,저장소 파일,mokpo-sanjeongdong-sungyojaginyeomseongdang.jpg,131,한국관광공사 TourAPI 관광정보 (contentId 3006131),공공누리 (제1·3유형 미확인 · 원본 무변경)
군종,왜고개 성지,저장소 파일,waegogae-seongji.jpg,297,한국관광공사 포토코리아 (촬영 한국관광공사 김지호),공공누리 제1유형
대구,가실성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Gasil_Catholic_Church_on_September_26th%2C_2018.jpg/1280px-Gasil_Catholic_Church_on_September_26th%2C_2018.jpg,,Wikimedia Commons,CC BY-SA 4.0
대구,경상감영 옥터 순교지,저장소 파일,gyeongsang-gamyeong.jpg,570,국가유산청,공공누리 제1유형
대구,계산 주교좌대성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Kyesan_Cathedral_Front.jpg/1280px-Kyesan_Cathedral_Front.jpg,,Wikimedia Commons / Himuka tachibana,CC BY-SA 3.0
대구,김수환 추기경 사랑과 나눔 공원,저장소 파일,gimsuhwan-chugigyeong-saranggwa-nanum-gongwon.jpg,93,한국관광공사 TourAPI 관광정보 (contentId 2757084),공공누리 (제1·3유형 미확인 · 원본 무변경)
대구,범어 주교좌대성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/%EB%B2%94%EC%96%B4%EB%8C%80%EC%84%B1%EB%8B%B9.jpg/1280px-%EB%B2%94%EC%96%B4%EB%8C%80%EC%84%B1%EB%8B%B9.jpg,,Wikimedia Commons / Ewolrd2,CC BY-SA 3.0
대구,성 유스티노 신학교,저장소 파일,justino.jpg,263,국가유산청,공공누리 제1유형
대구,성모당·성직자 묘지,저장소 파일,seongmodang.jpg,100,국가유산청,공공누리 제1유형
대구,신나무골 성지,저장소 파일,sinnamugol-seongji.jpg,104,한국관광공사 TourAPI 관광정보 (contentId 3486984),공공누리 (제1·3유형 미확인 · 원본 무변경)
대구,왜관 성 베네딕도 수도원,저장소 파일,waegwan-seong-benedikdo-sudowon.jpg,93,한국관광공사 TourAPI 관광정보 (contentId 2514751),공공누리 (제1·3유형 미확인 · 원본 무변경)
대구,한티 순교성지,저장소 파일,hanti-sungyoseongji.jpg,217,한국관광공사 TourAPI 관광정보 (contentId 1935320),공공누리 (제1·3유형 미확인 · 원본 무변경)
대전,갈매못 순교성지,저장소 파일,galmaemot-sungyoseongji.jpg,103,한국관광공사 TourAPI 관광정보 (contentId 127634),공공누리 (제1·3유형 미확인 · 원본 무변경)
대전,강경 성당,저장소 파일,ganggyeong.jpg,216,국가유산청,공공누리 제1유형
대전,공세리성지성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/%EA%B3%B5%EC%84%B8%EB%A6%AC%EC%84%B1%EB%8B%B9_%EC%A0%84%EA%B2%BD.jpg/1280px-%EA%B3%B5%EC%84%B8%EB%A6%AC%EC%84%B1%EB%8B%B9_%EC%A0%84%EA%B2%BD.jpg,,Wikimedia Commons,CC BY-SA 3.0
대전,다락골 성지,저장소 파일,darakgol-seongji.jpg,589,한국관광공사 TourAPI 관광정보 (contentId 127312),공공누리 (제1·3유형 미확인 · 원본 무변경)
대전,솔뫼성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Korea_Shrine_of_Somoe_01_%2814002140540%29.jpg/1280px-Korea_Shrine_of_Somoe_01_%2814002140540%29.jpg,,Wikimedia Commons,CC BY-SA 2.0
대전,수리치골 성모 성지,저장소 파일,surichigol-seongmo-seongji.jpg,537,한국관광공사 TourAPI 관광정보 (contentId 127238),공공누리 (제1·3유형 미확인 · 원본 무변경)
대전,신리성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Korea_Shrine_of_Sinri_01_%2814031372427%29.jpg/1280px-Korea_Shrine_of_Sinri_01_%2814031372427%29.jpg,,Wikimedia Commons,CC BY-SA 2.0
대전,여사울성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Korea_Yeosaul_Holy_Place_01_%2814202917766%29.jpg/1280px-Korea_Yeosaul_Holy_Place_01_%2814202917766%29.jpg,,Wikimedia Commons,CC BY-SA 2.0
대전,천주교 대흥동 교회 (대흥동 성당),위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Daeheung_Dong-Cathedral_01.jpg/1280px-Daeheung_Dong-Cathedral_01.jpg,,Wikimedia Commons (Exj),CC BY-SA 4.0
