use,site_id,site_name,diocese,site_location,source,score,reason,distance_km,content_id,title,image_url,location,photographer,license,tags
"","ede390ef-348e-466b-a77e-0b0998c1ab03","5·18 기념성당(남동성당)","광주","광주광역시 동구 제봉로 67","tourinfo","6","조각(18)·500m 안","0.35","1621360","5·18 민주광장","https://tong.visitkorea.or.kr/cms/resource/35/3515235_image2_1.jpg","전남광주통합특별시 동구 문화전당로 38","TourAPI 관광정보(contentTypeId 12)","",""
"","ede390ef-348e-466b-a77e-0b0998c1ab03","5·18 기념성당(남동성당)","광주","광주광역시 동구 제봉로 67","tourinfo","4","조각(18)·2km 안","0.75","2755010","5·18민주화운동 기록관","http://tong.visitkorea.or.kr/cms/resource/32/3532032_image2_1.jpg","전남광주통합특별시 동구 금남로 221 (금남로3가)","TourAPI 관광정보(contentTypeId 14)","","A02060200"
"","fbf56b63-8140-4577-ad92-ce6bd3d78c76","가톨릭 대학교 성신 교정","서울","서울시 종로구 창경궁로 296-12 (혜화동 90-1)","tourinfo","6","조각(대학교)·500m 안","0.23","3025303","동덕여자대학교 공연예술센터","https://tong.visitkorea.or.kr/cms/resource/89/3025289_image2_1.jpg","서울특별시 종로구 동숭길 126 (동숭동)","TourAPI 관광정보(contentTypeId 14)","",""
"","fbf56b63-8140-4577-ad92-ce6bd3d78c76","가톨릭 대학교 성신 교정","서울","서울시 종로구 창경궁로 296-12 (혜화동 90-1)","tourinfo","4","조각(대학교)·2km 안","1.56","129822","성신여자대학교박물관","http://tong.visitkorea.or.kr/cms/resource/90/3393190_image2_1.jpg","서울특별시 성북구 보문로34다길 2 (돈암동)","TourAPI 관광정보(contentTypeId 14)","","A02060100"
"","fbf56b63-8140-4577-ad92-ce6bd3d78c76","가톨릭 대학교 성신 교정","서울","서울시 종로구 창경궁로 296-12 (혜화동 90-1)","tourinfo","4","조각(대학교)·2km 안","0.71","129838","성균관대학교 인문사회과학캠퍼스박물관","http://tong.visitkorea.or.kr/cms/resource/09/3556509_image2_1.jpg","서울특별시 종로구 성균관로 25-2 (명륜3가)","TourAPI 관광정보(contentTypeId 14)","","A02060100"
"","fbf56b63-8140-4577-ad92-ce6bd3d78c76","가톨릭 대학교 성신 교정","서울","서울시 종로구 창경궁로 296-12 (혜화동 90-1)","tourinfo","4","조각(대학교)·2km 안","0.88","130275","서울대학교병원 의학박물관","https://tong.visitkorea.or.kr/cms/resource/75/3501275_image2_1.jpg","서울특별시 종로구 대학로 101 (연건동)","TourAPI 관광정보(contentTypeId 14)","",""
"","fbf56b63-8140-4577-ad92-ce6bd3d78c76","가톨릭 대학교 성신 교정","서울","서울시 종로구 창경궁로 296-12 (혜화동 90-1)","tourinfo","4","조각(대학교)·2km 안","0.63","130934","서울대학교 치의학박물관","https://tong.visitkorea.or.kr/cms/resource/11/3496611_image2_1.jpg","서울특별시 종로구 대학로 101 (연건동)","TourAPI 관광정보(contentTypeId 14)","",""
"","fbf56b63-8140-4577-ad92-ce6bd3d78c76","가톨릭 대학교 성신 교정","서울","서울시 종로구 창경궁로 296-12 (혜화동 90-1)","tourinfo","4","조각(대학교·교정)","5.71","2366967","숙명여자대학교 정영양자수박물관","https://tong.visitkorea.or.kr/cms/resource/75/3505375_image2_1.jpg","서울특별시 용산구 청파로47길 99 (청파동3가)","TourAPI 관광정보(contentTypeId 14)","",""
"","fbf56b63-8140-4577-ad92-ce6bd3d78c76","가톨릭 대학교 성신 교정","서울","서울시 종로구 창경궁로 296-12 (혜화동 90-1)","tourinfo","4","조각(대학교)·2km 안","1.02","3013177","홍익대학교 대학로 아트센터","https://tong.visitkorea.or.kr/cms/resource/20/3012920_image2_1.jpg","서울특별시 종로구 대학로 57 (연건동)","TourAPI 관광정보(contentTypeId 14)","",""
"","fbf56b63-8140-4577-ad92-ce6bd3d78c76","가톨릭 대학교 성신 교정","서울","서울시 종로구 창경궁로 296-12 (혜화동 90-1)","tourinfo","4","조각(대학교)·2km 안","1.92","3085032","고려대학교 서울캠퍼스화정체육관","https://tong.visitkorea.or.kr/cms/resource/39/3084439_image2_1.JPG","서울특별시 성북구 개운사2길 48 (안암동5가)","TourAPI 관광정보(contentTypeId 14)","",""
